bin, poly_hist, poly_shift, sample
          0,   18066094,   18066094,          0
          1,   18019097,   18019097,          0
          2,   18024320,   18102813,    6329771
          3,   18049886,   18080964,    5582349
          4,   18100365,   18017888,    8932751
          5,   18068938,   18052683,    1631458
          6,   18093190,   18067555,    6025596
          7,   18120972,   18063173,    6017537
          8,   18120173,   17979671,    6025596
          9,   17986825,   17934548,    6017537
         10,   18075314,   17905067,    6023740
         11,   18051113,   17781130,    6013698
         12,   18060861,   17774525,    6025765
         13,   18220524,   17774525,    6072539
         14,   18217458,   17774525,    6070940
         15,   18663864,   17774525,    6219392
         16,   18989665,   17774525,    6329771
         17,   16750611,   17774525,    5582349
         18,   26796955,   17774525,    8932751
         19,    4893636,   17774525,    1631458
         20,          0,   17774525,          0
         21,          0,   17774525,          0
         22,          0,   17774525,          0
         23,          0,   17774525,          0
